BFS Moves,BFS Time (s)
1,0.000003387
2,0.00000477
3,0.000029404
4,0.001637659
5,0.01432749
6,0.049345879
7,5.853587175
8,13.722520446
1,0.000001562
2,0.000013752
3,0.000090046
4,0.002183116
5,0.040557275
6,0.319709977
7,5.441186646
8,11.729221796000001
1,0.000002325
2,0.000017828
3,0.00017963
4,0.00130245
5,0.035864378
6,0.418586635
7,2.703157983
8,91.715722765
1,0.000001573
2,0.000007641
3,0.000087116
4,0.00064935
5,0.013053802
6,0.422765804
7,0.775612423
8,24.688709425
1,0.000002155
2,0.000007094
3,0.000216206
4,0.000863211
5,0.024265067
6,0.525188668
7,6.605827541
8,84.210385895
1,0.000001807
2,0.000007994
3,0.000154136
4,0.000673511
5,0.015803492
6,0.122284866
7,5.17616343
8,26.629997513
1,0.000001867
2,0.000016449
3,0.000191358
4,0.002200868
5,0.020466675
6,0.430690371
7,6.504729096
8,39.987567113
1,0.000002531
2,0.000009412
3,0.000119355
4,0.00177302
5,0.007037545
6,0.546490338
7,7.052556244
8,27.991881299
1,0.000002044
2,0.00001759
3,0.000221535
4,0.002153089
5,0.0308772
6,0.256929607
7,1.35151832
8,27.744276841
1,0.000002799
2,0.000005538
3,0.000116495
4,0.001440794
5,0.004626125
6,0.090871553
7,0.795880007
8,85.066072118
1,0.000003068
2,0.000010327
3,0.000043921
4,0.00139989
5,0.00566771
6,0.123176012
7,2.684622942
8,26.356348963
1,0.000002082
2,0.000011676
3,0.000189656
4,0.000942134
5,0.00570586
6,0.526203798
7,3.725066173
8,31.560353916
1,0.000003038
2,0.000016395
3,0.000106123
4,0.002538175
5,0.013195912
6,0.189484938
7,2.3138200429999998
8,95.116890617
1,0.000001652
2,0.00001702
3,0.000224714
4,0.001853298
5,0.018188629
6,0.384726025
7,3.8770599629999998
8,16.582264661
1,0.000001937
2,0.000005094
3,0.000067287
4,0.001904091
5,0.005913195
6,0.189758272
7,3.507594932
8,19.369361557
1,0.000002056
2,0.00001112
3,0.000207478
4,0.002964663
5,0.016214503
6,0.253482628
7,6.709292916
8,80.317272399
1,0.000001545
2,0.000016149
3,0.000187229
4,0.002046461
5,0.004868556
6,0.40692123
7,4.695337741
8,15.902216327
1,0.000003132
2,0.000007933
3,0.00013565
4,0.003006813
5,0.012470031
6,0.494179283
7,2.226205773
8,32.118293228
1,0.000002677
2,0.000008292
3,0.000174877
4,0.000956747
5,0.006815024
6,0.212998301
7,1.513302014
8,64.284696942
1,0.000002163
2,0.000008914
3,0.000216671
4,0.000535486
5,0.033037207
6,0.112573989
7,6.268677614
8,77.967101432
1,0.000002186
2,0.000003591
3,0.000171899
4,0.001296337
5,0.008410266
6,0.372783501
7,4.060722561
8,76.264068563
1,0.000002154
2,0.00001059
3,0.00017532
4,0.002851085
5,0.018049034
6,0.130402874
7,5.30842514
8,85.339839424
1,0.000004194
2,0.000016143
3,0.000059178
4,0.003081674
5,0.007134431
6,0.319810296
7,1.42774491
8,28.094572257
1,0.000002193
2,0.00000432
3,0.000057128
4,0.002974717
5,0.022358689
6,0.472705489
7,5.041845632
8,91.709253187
1,0.000001482
2,0.000007903
3,0.000213196
4,0.000303401
5,0.039503326
6,0.157377342
7,3.189451714
8,69.757158307
1,0.000002098
2,0.000013503
3,0.000100034
4,0.00245122
5,0.011601586
6,0.131270694
7,2.918392443
8,37.358996302
1,0.000002888
2,0.000010642
3,0.000068176
4,0.002991076
5,0.013404825
6,0.240137496
7,5.803878939
8,40.065921249
1,0.00000225
2,0.000013072
3,0.000173356
4,0.002853078
5,0.021229
6,0.365962861
7,3.475852461
8,96.177558741
1,0.000003137
2,0.000018742
3,0.000226868
4,0.002877424
5,0.022609121
6,0.328141269
7,4.677519482
8,53.715249133
1,0.000002
2,0.000009028
3,0.000125982
4,0.000341764
5,0.00441861
6,0.318761627
7,1.051774679
8,22.421626189
1,0.000001815
2,0.000003634
3,0.000095922
4,0.001658069
5,0.037014315
6,0.478352254
7,6.453597463
8,56.448548136
1,0.000001911
2,0.000009988
3,0.000075773
4,0.003031988
5,0.030349725
