IDA* Moves,IDA* Time (s)
1,0.034093541
2,0.000003604
3,0.000004653
4,0.000010013
5,0.000047721
6,0.000416562
7,0.000517507
8,0.004980339
9,0.177630627
10,1.776743566
11,3.536153564
12,38.780056858
1,0.000002725
2,0.000002225
3,0.000005806
4,0.000006152
5,0.000054692
6,0.000218683
7,0.00015001
8,0.000623165
9,0.022013405
10,0.173001383
11,11.345608547
12,150.719940444
1,0.000001297
2,0.000002743
3,0.000002757
4,0.000003906
5,0.000042984
6,0.000124729
7,0.000969258
8,0.005225265
9,0.052780016
10,0.1326827
11,7.628568373
12,47.124356575
1,0.000003489
2,0.000001637
3,0.000007909
4,0.000002766
5,0.000007895
6,0.00047893
7,0.001929404
8,0.003055806
9,0.044788939
10,3.748026674
11,2.79914443
12,68.671275289
1,0.000001224
2,0.000002514
3,0.000002259
4,0.00000785
5,0.000043309
6,0.000034933
7,0.001346719
8,0.001515174
9,0.076934296
10,0.584069349
11,8.619669465
12,49.66387549
1,0.000002462
2,0.000003089
3,0.000003197
4,0.000005609
5,0.000044632
6,0.000431076
7,0.000758952
8,0.006912801
9,0.141236088
10,2.416208191
11,2.061550402
12,163.684069154
1,0.000002334
2,0.000002063
3,0.000004867
4,0.000007841
5,0.000053399
6,0.000054487
7,0.000439667
8,0.001294736
9,0.037275594
10,0.414923493
11,7.733110853
12,19.13831065
1,0.000001759
2,0.000002041
3,0.000004401
4,0.000003677
5,0.000003665
6,0.000057306
7,0.000987641
8,0.020001631
9,0.061953605
10,0.988134018
11,1.934755819
12,152.891591443
1,0.000002556
2,0.000002248
3,0.000000614
4,0.000029942
5,0.000005471
6,0.000070483
7,0.001276683
8,0.017049059
9,0.082507115
10,2.489415284
11,3.707718223
12,94.050951817
1,0.000002817
2,0.000001102
3,0.000003646
4,0.000007512
5,0.000003411
6,0.000078538
7,0.001122844
8,0.027492938
9,0.021006474
10,0.37601423
11,3.946162738
12,111.751794351
1,0.000003167
2,0.000002841
3,0.000005513
4,0.000011247
5,0.000026644
6,0.00009211
7,0.000419286
8,0.019430845
9,0.006243855
10,0.137564699
11,2.071939629
12,127.140189191
1,0.000001671
2,0.000002084
3,0.000003097
4,0.000005589
5,0.000024222
6,0.000010023
7,0.000461127
8,0.001228368
9,0.080709493
10,0.257465395
11,37.267786791
12,66.649940473
1,0.00000179
2,0.000001642
3,0.000002591
4,0.000002496
5,0.000009886
6,0.000110647
7,0.000362445
8,0.005339526
9,0.024850651
10,0.122333953
11,9.355343915
12,18.162807147
1,0.000002353
2,0.000002757
3,0.000003442
4,0.000005756
5,0.000060476
6,0.000725363
7,0.000184704
8,0.012557602
9,0.028621423
10,1.20365785
11,1.965228346
12,42.234205666
1,0.000002044
2,0.000001381
3,0.000002486
4,0.000002551
5,0.000062169
6,0.000944879
7,0.000927539
8,0.004225006
9,0.166483025
10,2.318200127
11,5.581806129
12,60.381034633
1,0.000003137
2,0.000002399
3,0.000002458
4,0.000006284
5,0.000014462
6,0.000189043
7,0.000706972
8,0.005000427
9,0.017180577
10,0.529757942
11,12.986337774
12,99.220511959
1,0.000001005
2,0.000002497
3,0.000003662
4,0.000021778
5,0.000008514
6,0.000085725
7,0.000893706
8,0.015649036
9,0.033496749
10,0.689222318
11,1.369264282
12,145.811188404
1,0.000001326
2,0.000002237
3,0.00000473
4,0.000005947
5,0.000013637
6,0.000041316
7,0.000195902
8,0.020423645
9,0.028820436
10,0.240710849
11,5.39182177
12,62.255539215
1,0.000001112
2,0.000001408
3,0.000000812
4,0.000003824
5,0.000032214
6,0.000007477
7,0.000671454
8,0.004227394
9,0.005526081
10,0.141620822
11,8.40921472
12,4.774626498
1,0.000000709
2,0.000001459
3,0.000003254
4,0.000002945
5,0.000005154
6,0.000012221
7,0.000029282
8,0.005719811
9,0.032742817
10,0.626747384
11,2.444769562
12,54.551517831
1,0.000000877
2,0.000001002
3,0.00000163
4,0.000002994
5,0.000095294
6,0.000004108
7,0.000381251
8,0.006294134
9,0.041746217
10,2.009543669
11,2.379908337
12,48.052864996
1,0.000001609
2,0.000001178
3,0.000003035
4,0.00000295
5,0.00001454
6,0.000193726
7,0.000005292
8,0.012719789
9,0.162722747
10,0.454603222
11,4.070258091
12,86.095119713
1,0.000000949
2,0.000001083
3,0.000002149
4,0.000019512
5,0.000033257
6,0.000043319
7,0.000174088
8,0.008340504
9,0.033646548
10,0.496693635
11,1.1564017149999999
12,108.645216572
1,0.000001315
2,0.000001787
3,0.000002141
4,0.000012872
5,0.000037981
6,0.0000137
7,0.000307994
8,0.00154642
9,0.02085206
10,0.196972361
11,4.453573645
12,43.158189013
1,0.000001335
2,0.00000052
3,0.000001143
4,0.000003282
5,0.000006999
6,0.000194375
7,0.000572338
8,0.001529267
9,0.03283354
10,0.145824195
11,7.609332586
12,22.854608203
1,0.000002063
2,0.000001844
3,0.000002332
4,0.000002346
5,0.000016428
6,0.000054052
7,0.000471911
8,0.000911192
9,0.018685392
10,0.844300798
11,1.193832499
12,44.37216279
1,0.000001282
2,0.000001817
3,0.000002944
4,0.000010569
5,0.000025658
6,0.00000827
7,0.000625134
8,0.005643899
9,0.170373703
10,0.319692391
11,18.055920411
12,37.603780577
1,0.000001191
2,0.000001616
3,0.000001352
4,0.00000745
5,0.000027373
6,0.000069296
7,0.000372523
8,0.00335041
9,0.01570364
10,0.018189439
11,3.863043906
12,29.636109973
1,0.000001245
2,0.000000856
3,0.000001762
4,0.000002626
5,0.000010962
6,0.000057294
7,0.000512623
8,0.000780225
9,0.308407567
10,1.171548876
11,1.277900502
12,68.534747317
1,0.000001834
2,0.000001917
3,0.000000903
4,0.000008342
5,0.000024821
6,0.000141579
7,0.00007097
8,0.004926074
9,0.034455935
10,0.360927899
11,7.483419317
12,16.185210358
1,0.000001575
2,0.000001232
3,0.000003618
4,0.000003727
5,0.000006244
6,0.00001739
7,0.000088235
8,0.007801588
9,0.032197621
10,0.335769808
11,10.090124283
12,49.436736363
1,0.000000883
2,0.000001685
3,0.000002198
4,0.000001844
5,0.000002375
6,0.000147108
7,0.001629314
8,0.011216948
9,0.039165304
10,0.269351456
11,8.826698109
12,66.054921027
1,0.000002251
2,0.000000938
3,0.000001913
4,0.000003655
5,0.000004508
6,0.000009694
7,0.000611985
8,0.014482525
9,0.01812581
10,0.298229099
11,1.20819885
12,21.196409363
1,0.000001413
2,0.000002074
3,0.000003113
4,0.000009134
5,0.000003161
6,0.000084964
7,0.001027176
8,0.004179791
9,0.014216688
10,0.068790377
11,4.036659839
12,13.812060629
1,0.000002084
2,0.000001085
3,0.000002041
4,0.00000184
5,0.000099835
6,0.000674557
7,0.000287955
8,0.004688242
9,0.022672964
10,0.119911499
11,7.127358364
12,5.264952563
1,0.000001595
2,0.000002471
3,0.000001846
4,0.00000198
5,0.000002599
6,0.000024216
7,0.000084352
8,0.000115674
9,0.00410511
10,1.407253184
11,2.283545673
12,33.273702218
1,0.000001665
2,0.00000089
3,0.000002217
4,0.000003191
5,0.000028886
6,0.000097652
7,0.000194336
8,0.001158128
9,0.005187786
10,0.7403301
11,5.6834186859999996
12,13.25363978
1,0.000001869
2,0.000000386
3,0.000001693
4,0.000010483
5,0.00000504
6,0.000745729
7,0.000063515
8,0.003943797
9,0.005578886
10,0.257622948
11,6.586316378
12,28.114281328
1,0.000001092
2,0.000001644
3,0.000002392
4,0.000001915
5,0.000004107
6,0.000031344
7,0.0004611
8,0.002631573
9,0.135308488
10,0.515908866
11,7.157658595
12,69.726826905
1,0.000000477
2,0.000002361
3,0.000002603
4,0.00000435
5,0.000002575
6,0.000311528
7,0.000608664
8,0.000154994
9,0.043331975
10,0.23846931
11,3.239663673
12,56.278681769
1,0.000001823
2,0.000002205
3,0.000002721
4,0.000016728
5,0.000003483
6,0.000673852
7,0.001296401
8,0.009904119
9,0.002846649
10,0.569774041
11,5.161245475
12,88.121394283
1,0.000001013
2,0.000001841
3,0.00000973
4,0.000035672
5,0.00001389
6,0.000025548
7,0.000164513
8,0.007508419
9,0.123456908
10,0.310143786
11,4.280714041
12,26.266404588
1,0.000001299
2,0.000000871
3,0.000002093
4,0.000002734
5,0.000010276
6,0.000307254
7,0.000183436
8,0.000720669
9,0.00981419
10,0.067599821
11,5.543523061
12,51.388661977
1,0.000002084
2,0.000000413
3,0.000001097
4,0.000003422
5,0.000035005
6,0.00003493
7,0.000482628
8,0.003308882
9,0.025795656
10,0.077233253
11,3.319552664
12,21.671829905
1,0.000002298
2,0.000001011
3,0.000004615
4,0.000007774
5,0.000009388
6,0.000008775
7,0.000908357
8,0.003457411
9,0.073962366
10,0.071015558
11,6.623927243
12,53.408752888
1,0.000002602
2,0.00000154
3,0.000001976
4,0.000003601
5,0.000016341
6,0.000036977
7,0.000529479
8,0.000880131
9,0.016246942
10,0.561664073
11,1.3180439210000001
12,68.535421617
1,0.000001875
2,0.000001846
3,0.000001254
4,0.000002665
5,0.000021449
6,0.000040259
7,0.000032837
8,0.005369771
