Scramble Length,Solution Moves,Solution Time (s)
1,1,0.000004339
2,8,0.000020281
3,8,0.000049568
4,11,0.000104403
5,2,0.000004012
6,13,0.000068967
7,7,0.000048735
8,5,0.000009985
9,19,0.000252884
10,18,0.000093938
11,17,0.000243848
12,15,0.000052365
13,20,0.002141577
14,20,0.000929805
15,19,0.002125412
16,20,0.000315375
17,20,0.001430849
18,20,0.003253735
19,21,0.005170511
20,20,0.008641771
1,1,0.000007116
2,9,0.000098454
3,3,0.00000384
4,9,0.00003412
5,5,0.000004881
6,10,0.000020769
7,14,0.000008061
8,7,0.000005363
9,16,0.000021896
10,14,0.000043765
11,18,0.000137661
12,17,0.000021167
13,19,0.000363094
14,13,0.00001248
15,21,0.001890348
16,19,0.000756596
17,20,0.001164167
18,21,0.000956542
19,21,0.000809605
20,21,0.000774147
1,8,0.00008681
2,2,0.000002903
3,3,0.000004064
4,14,0.000061791
5,4,0.000004354
6,13,0.000063409
7,13,0.000012163
8,13,0.000037385
9,7,0.000006456
10,19,0.000046252
11,9,0.000007917
12,17,0.000017459
13,20,0.000254757
14,16,0.000020487
15,21,0.000873185
16,19,0.0002518
17,19,0.000078387
18,21,0.001080094
19,21,0.000854717
20,21,0.00202142
1,8,0.000132999
2,7,0.000018389
3,10,0.000025771
4,4,0.000005187
5,13,0.000011302
6,13,0.000079474
7,7,0.000008639
8,15,0.000073727
9,12,0.000007894
10,16,0.000043402
11,20,0.000129938
12,20,0.000037965
13,14,0.000015825
14,20,0.000865864
15,19,0.000300921
16,19,0.000020592
17,20,0.000604445
18,20,0.001368323
19,20,0.000077298
20,21,0.001400191
1,8,0.000129255
2,2,0.000002732
3,8,0.000026192
4,11,0.000088008
5,10,0.000067656
6,6,0.00000492
7,16,0.000034248
8,13,0.000052204
9,13,0.000011275
10,18,0.000032785
11,20,0.000296179
12,12,0.000010544
13,18,0.000200388
14,15,0.000020533
15,19,0.000394325
16,20,0.002837837
17,21,0.00268555
18,20,0.000244169
19,20,0.000152858
20,20,0.000828788
1,1,0.000003041
2,2,0.000002785
3,3,0.000003774
4,4,0.000003682
5,5,0.00000462
6,10,0.000008943
7,7,0.00000739
8,11,0.000008505
9,18,0.000010865
10,13,0.000009169
11,12,0.000017848
12,11,0.000008846
13,18,0.000154108
14,20,0.000416532
15,21,0.000841623
16,21,0.000925357
17,20,0.006104716
18,21,0.000844129
19,20,0.000045624
20,20,0.002237593
1,1,0.000003667
2,2,0.000003699
3,3,0.000003573
4,7,0.000006518
5,13,0.000008082
6,6,0.000004804
7,14,0.000089163
8,15,0.000062056
9,16,0.000011224
10,14,0.000033193
11,14,0.000008354
12,20,0.000041825
13,20,0.000292339
14,20,0.000085667
15,17,0.000139495
16,20,0.000818505
17,19,0.000040334
18,20,0.00019694
19,17,0.000023171
20,20,0.002000166
1,1,0.000005079
2,9,0.000079381
3,1,0.000001919
4,11,0.000063433
5,4,0.000002572
6,6,0.000004193
7,14,0.000055056
8,13,0.000009463
9,15,0.000025409
10,20,0.000299036
11,17,0.000013104
12,17,0.000015059
13,19,0.000064197
14,19,0.000897968
15,9,0.000009518
16,21,0.002620433
17,19,0.0015351
18,21,0.011134833
19,20,0.000753632
20,21,0.002342206
1,1,0.000007582
2,9,0.000079053
3,3,0.000003369
4,11,0.000058338
5,4,0.00000332
6,11,0.000005374
7,6,0.000004127
8,8,0.000028897
9,16,0.000061208
10,15,0.000062955
11,18,0.000022711
12,20,0.000670724
13,16,0.000615331
14,20,0.000080984
15,19,0.001084061
16,20,0.000176133
17,19,0.000019411
18,20,0.000641634
19,20,0.000230039
20,21,0.000576966
1,8,0.000066157
2,9,0.000046965
3,3,0.000003099
4,4,0.000002817
5,10,0.000010684
6,6,0.000003995
7,12,0.000011848
8,15,0.000077208
9,18,0.000009962
10,10,0.000037458
11,20,0.000069947
12,15,0.000008264
13,17,0.000090473
14,20,0.000545782
15,20,0.000728916
16,20,0.000452296
17,19,0.000078192
18,20,0.00004073
19,21,0.010948392
20,21,0.001076301
1,1,0.000003521
2,2,0.000003042
3,3,0.000003456
4,4,0.000004421
5,10,0.000041353
6,6,0.000005817
7,7,0.000006293
8,13,0.00004779
9,9,0.000008689
10,19,0.000090506
11,16,0.000483438
12,20,0.000181487
13,20,0.000126742
14,21,0.001780881
15,14,0.000585718
16,21,0.000608881
17,21,0.012812809
18,20,0.004821708
19,20,0.000130513
20,20,0.001019765
1,8,0.000076309
2,8,0.00004512
3,10,0.000051237
4,4,0.000003396
5,12,0.000034505
6,14,0.000007266
7,7,0.000005111
8,15,0.000009592
9,13,0.000006922
10,7,0.000006132
11,10,0.000162012
12,20,0.000121651
13,20,0.000089748
14,19,0.000169167
15,18,0.00001974
16,20,0.003332053
17,21,0.008745874
18,18,0.000020517
19,20,0.00133519
20,21,0.002851229
1,8,0.00009691
2,9,0.000073175
3,10,0.000064824
4,11,0.0000738
5,5,0.000003965
6,13,0.000034641
7,6,0.000004425
8,13,0.000015971
