Scramble Length,Solution Moves,Solution Time (s)
1,1,0.019951688
2,2,0.00000259
3,3,0.000002636
4,4,0.000013064
5,5,0.000014993
6,5,0.000007306
7,6,0.000037538
8,8,0.000317087
9,16,0.002916598
10,10,0.003988607
11,17,0.004472335
12,12,0.003532755
13,15,0.003024658
14,21,0.001964191
15,20,0.001442557
16,21,0.008805922
17,20,0.003220426
18,21,0.016779799
19,21,0.006196051
20,21,0.002076753
1,1,0.000002126
2,2,0.000002257
3,3,0.000002585
4,4,0.000007807
5,4,0.00000417
6,6,0.001820425
7,7,0.000221488
8,8,0.001706091
9,18,0.005974224
10,7,0.000239361
11,20,0.002990888
12,20,0.005353208
13,20,0.004978601
14,20,0.00106379
15,18,0.002696026
16,21,0.002080706
17,21,0.009985186
18,20,0.001521183
19,21,0.004794526
20,20,0.009875438
1,1,0.000001722
2,2,0.000003111
3,3,0.000003671
4,4,0.000005415
5,5,0.000032774
6,6,0.000051324
7,7,0.000034775
8,8,0.004483369
9,14,0.003177303
10,10,0.001394992
11,19,0.00197815
12,17,0.013421357
13,20,0.031860284
14,12,0.002998738
15,21,0.00480829
16,20,0.002598807
17,20,0.00531892
18,20,0.008659455
19,20,0.003976115
20,20,0.011648101
1,1,0.000002899
2,2,0.000003113
3,3,0.000005915
4,4,0.000021204
5,5,0.000012117
6,6,0.000140452
7,7,0.000442938
8,7,0.000066549
9,7,0.000351061
10,19,0.005993394
11,20,0.002407257
12,20,0.00059118
13,19,0.002764778
14,21,0.006577726
15,21,0.003765555
16,19,0.002017346
17,20,0.003782867
18,20,0.017490854
19,21,0.006007986
20,20,0.002014003
1,1,0.000002534
2,2,0.00000258
3,3,0.00000171
4,4,0.000003602
5,5,0.000035732
6,6,0.000029084
7,6,0.000020743
8,8,0.020168532
9,16,0.00565781
10,18,0.006430286
11,10,0.002542396
12,20,0.007378002
13,21,0.004968217
14,20,0.003202613
15,20,0.004076441
16,20,0.01010277
17,21,0.003227308
18,20,0.000656083
19,20,0.003842727
20,21,0.002388999
1,1,0.000002395
2,2,0.000002112
3,3,0.000002581
4,4,0.000009202
5,5,0.000012553
6,6,0.000209211
7,6,0.000120488
8,6,0.000063674
9,15,0.014451157
10,14,0.003539979
11,19,0.003542449
12,18,0.007706688
13,21,0.001422541
14,20,0.001380411
15,20,0.002521149
16,19,0.00391383
17,20,0.006950778
18,21,0.001276212
19,19,0.006364098
20,19,0.001635468
1,1,0.000001794
2,2,0.000002179
3,3,0.000002085
4,4,0.000017957
5,5,0.000006834
6,6,0.000073386
7,7,0.000651024
8,8,0.00350283
9,9,0.000841534
10,17,0.001630346
11,9,0.080192772
12,18,0.004303143
13,19,0.000538319
14,20,0.004627757
15,20,0.002978644
16,21,0.00323296
17,21,0.006912996
18,21,0.002751844
19,20,0.003415695
20,20,0.002736445
1,1,0.00000226
2,2,0.000002324
3,3,0.000002657
4,4,0.00000234
5,5,0.00002151
6,6,0.000113805
7,7,0.000254431
8,8,0.003450387
9,14,0.001820792
10,16,0.015036621
11,18,0.00162959
12,11,0.003506201
13,17,0.001754031
14,20,0.000705045
15,20,0.001745146
16,20,0.005082445
17,21,0.004489381
18,21,0.012446758
19,20,0.004695262
20,21,0.007429553
1,1,0.000002458
2,2,0.000002244
3,3,0.000002767
4,4,0.000006878
5,5,0.000013416
6,6,0.000282116
7,5,0.00003703
8,8,0.008824713
9,9,0.010551463
10,14,0.022920323
11,16,0.004761226
12,21,0.001664529
13,20,0.012979613
14,21,0.010182559
15,9,0.015902065
16,20,0.008273325
17,21,0.004757665
18,20,0.004629124
19,20,0.003678214
20,21,0.003327351
1,1,0.000002196
2,2,0.000001914
3,3,0.000002933
4,4,0.000017799
5,4,0.000004218
6,6,0.000055448
7,7,0.000931837
8,6,0.00006182
9,9,0.00164121
10,18,0.013654171
11,20,0.003518205
12,18,0.007105072
13,21,0.001489546
14,18,0.004365671
15,17,0.003436521
16,19,0.005027248
17,20,0.004243349
18,19,0.001225178
19,21,0.002492827
20,21,0.001915273
1,1,0.0000028
2,2,0.000004067
3,3,0.000002316
4,4,0.000005619
5,5,0.000010981
6,6,0.000075531
7,7,0.000034401
8,8,0.023771003
9,9,0.009294729
10,10,0.012635869
11,18,0.002805518
12,12,0.000518691
13,20,0.001640425
14,21,0.00112402
15,17,0.009593829
16,20,0.006740465
17,20,0.004152644
18,20,0.001731416
19,21,0.00374683
20,20,0.002991953
1,1,0.000001701
2,2,0.000001924
3,3,0.000002532
4,4,0.000002968
5,5,0.000012274
6,6,0.000293181
7,7,0.00020086
8,8,0.001120328
9,7,0.000405705
10,20,0.005595645
11,20,0.005356463
12,19,0.003742472
13,11,0.010834404
14,20,0.005435148
15,20,0.006929447
16,18,0.000333321
17,21,0.004650124
18,20,0.006261751
19,20,0.00050002
20,21,0.002994524
1,1,0.000002752
2,2,0.000001883
3,3,0.000002098
4,4,0.000005218
5,5,0.000011638
6,6,0.000140189
7,7,0.000034899
8,8,0.00243259
9,8,0.012131673
10,20,0.003033559
11,18,0.004231129
12,14,0.006539782
13,19,0.010627911
14,19,0.002537655
15,19,0.002635132
16,18,0.009970484
17,20,0.005734692
18,19,0.005386371
19,21,0.006561761
20,18,0.001754811
1,1,0.000002052
2,2,0.000003004
3,3,0.000002875
4,4,0.000006294
5,5,0.000002876
6,4,0.000003039
7,6,0.000023584
8,8,0.007936318
9,9,0.007024059
10,16,0.026936614
11,11,0.006042432
12,12,0.00155324
13,16,0.001365159
14,19,0.003139823
15,17,0.007601175
16,21,0.003339957
17,20,0.002083771
18,20,0.003226154
