Scramble Length,Solution Moves,Solution Time (s)
1,1,0.019773007
2,2,0.000006425
3,3,0.000006232
4,4,0.000021806
5,5,0.000342924
6,6,0.000883676
7,16,0.002478394
8,6,0.000345601
9,16,0.000150565
10,18,0.000997301
11,15,0.000054169
12,19,0.001650999
13,20,0.000236282
14,14,0.000300969
15,20,0.00015996
16,20,0.000040719
17,21,0.001246214
18,20,0.000396331
19,19,0.000121381
20,21,0.002057104
21,21,0.001410757
22,20,0.000709169
23,20,0.005430925
24,21,0.000884879
25,19,0.000729223
26,21,0.000534567
27,21,0.001098924
28,20,0.000033304
29,20,0.000632019
30,20,0.000386873
1,1,0.000003253
2,2,0.000005795
3,3,0.000005172
4,4,0.002652118
5,3,0.000053157
6,6,0.00046922
7,12,0.000188191
8,12,0.000186102
9,9,0.000015283
10,10,0.000291762
11,14,0.00003303
12,20,0.000136146
13,19,0.000069538
14,19,0.000297044
15,20,0.000082124
16,20,0.001457318
17,19,0.000681183
18,21,0.000731789
19,19,0.000485125
20,20,0.000051124
21,21,0.000589756
22,21,0.002226782
23,21,0.002080056
24,20,0.004476033
25,21,0.000833602
26,21,0.001051323
27,21,0.000714877
28,20,0.000885957
29,19,0.000899159
30,21,0.001456519
1,1,0.000001965
2,2,0.000002717
3,3,0.00004957
4,4,0.000080314
5,5,0.00011035
6,6,0.000012838
7,5,0.000310318
8,13,0.00004368
9,11,0.000293473
10,16,0.000146572
11,10,0.000291677
12,19,0.000259185
13,20,0.000532653
14,17,0.000092593
15,14,0.000054434
16,19,0.000039468
17,20,0.000201941
18,21,0.006847039
19,20,0.00370407
20,20,0.00064849
21,21,0.002013912
22,21,0.000428979
23,21,0.001333305
24,19,0.000074518
25,20,0.000197747
26,20,0.001722917
27,21,0.000292951
28,21,0.001495326
29,20,0.000018679
30,21,0.001112651
1,1,0.000002975
2,2,0.000006506
3,3,0.000014367
4,4,0.000055575
5,5,0.000405985
6,12,0.002101346
7,5,0.000212827
8,13,0.001005644
9,13,0.0000163
10,10,0.000182136
11,16,0.00005618
12,17,0.001305008
13,20,0.00034833
14,21,0.00122138
15,21,0.000275754
16,20,0.000185798
17,18,0.000382462
18,20,0.000181945
19,20,0.003863217
20,20,0.000048715
21,20,0.000035283
22,20,0.000442881
23,20,0.000261239
24,21,0.001296375
25,17,0.000330058
26,21,0.000664372
27,20,0.001896786
28,21,0.001592087
29,20,0.000066256
30,21,0.000600555
1,1,0.000002633
2,2,0.000005056
3,2,0.000002246
4,4,0.000007294
5,5,0.001020751
6,6,0.000668729
7,5,0.001051175
8,15,0.000422655
9,9,0.000018054
10,10,0.000376785
11,19,0.000068231
12,20,0.003258942
13,17,0.000046047
14,20,0.000790558
15,20,0.000113316
16,21,0.002876373
17,19,0.000031531
18,20,0.000193758
19,21,0.000471338
20,21,0.001196778
21,20,0.000660876
22,20,0.001979735
23,18,0.0002379
24,20,0.000105754
25,21,0.016664412
26,21,0.008260759
27,21,0.005168851
28,21,0.000721239
29,21,0.001518828
30,21,0.001363984
1,1,0.000002822
2,2,0.000008583
3,3,0.000016829
4,4,0.000533684
5,5,0.00241977
6,6,0.000345292
7,16,0.000096744
8,15,0.000053187
9,9,0.000018829
10,16,0.000010768
11,17,0.000109143
12,18,0.000521663
13,20,0.000113839
14,17,0.000096737
15,21,0.001614108
16,21,0.001634378
