Scramble Length,Solution Moves,Solution Time (s)
1,1,0.000004618
2,2,0.000002795
3,3,0.00000749
4,4,0.000007693
5,12,0.000184534
6,4,0.000013884
7,15,0.000027549
8,8,0.000022414
9,9,0.000030823
10,17,0.000181031
11,16,0.000041444
12,20,0.000348468
13,18,0.000118927
14,19,0.001011955
15,20,0.001562741
16,21,0.009660052
17,21,0.00069102
18,21,0.024450498
19,20,0.000820183
20,20,0.001531505
21,20,0.004914403
22,20,0.001464303
23,20,0.000197405
24,20,0.001462913
25,20,0.000051981
26,21,0.003023755
27,21,0.000891859
28,20,0.000197666
29,19,0.000141911
30,21,0.017507394
1,1,0.000008832
2,9,0.000127556
3,3,0.000008749
4,4,0.000008374
5,5,0.000008799
6,13,0.000024938
7,14,0.000165115
8,15,0.000054485
9,12,0.000027834
10,17,0.000397507
11,11,0.000295673
12,20,0.002638609
13,15,0.000185243
14,21,0.001915172
15,17,0.000027721
16,20,0.000186455
17,20,0.003180923
18,21,0.008041852
19,21,0.007293123
20,21,0.001857349
21,21,0.011599775
22,20,0.000373648
23,21,0.002516771
24,20,0.000475213
25,20,0.002487743
26,21,0.005990562
27,19,0.000105802
28,21,0.00045143
29,21,0.001978818
30,21,0.00063352
1,1,0.000003725
2,7,0.000036707
3,3,0.000003288
4,9,0.000069744
5,5,0.000005373
6,14,0.000011489
7,14,0.000062951
8,16,0.000043929
9,15,0.000060085
10,16,0.000090303
11,13,0.000009188
12,15,0.000023759
13,9,0.000008767
14,10,0.000076509
15,21,0.014480712
16,20,0.000318513
17,18,0.000179346
18,20,0.000106551
19,20,0.000129216
20,20,0.000641572
21,21,0.002156178
22,20,0.000746267
23,20,0.000134921
24,21,0.001380378
25,20,0.000873026
26,20,0.001185255
27,20,0.000634664
28,21,0.000665233
29,21,0.001127513
30,19,0.001078098
1,1,0.000003342
2,9,0.000097058
3,8,0.00001534
4,4,0.000004866
5,5,0.000005083
6,11,0.000066923
7,7,0.00000677
8,8,0.000006104
9,12,0.000061542
10,16,0.000010534
11,17,0.000011417
12,10,0.000014362
13,21,0.000772444
14,21,0.0012588
15,19,0.000047543
16,20,0.001360638
17,20,0.00042797
18,20,0.000438436
19,21,0.000849762
20,20,0.000682575
21,21,0.004198618
22,21,0.004285361
23,20,0.001079827
24,20,0.000908482
25,20,0.000962826
26,20,0.000222049
27,21,0.001783273
28,21,0.002182646
29,19,0.000283457
30,21,0.00425353
1,1,0.000003804
2,9,0.000086662
3,10,0.000073518
4,9,0.000036808
5,12,0.00000748
6,5,0.000005209
7,12,0.000014852
8,10,0.000007525
9,15,0.00003323
10,17,0.000243094
11,10,0.000011846
12,19,0.000800143
13,20,0.000210768
14,20,0.000490549
15,20,0.000160942
16,20,0.003324585
17,18,0.000311253
18,20,0.000123694
19,20,0.0017193
20,21,0.000855315
21,19,0.001830026
22,21,0.018301014
23,20,0.00027809
24,21,0.001092269
25,21,0.000916904
26,21,0.000742238
27,21,0.002489475
28,21,0.001177777
29,20,0.000127429
30,20,0.000704752
1,8,0.000090886
2,2,0.00000238
3,9,0.000050174
4,10,0.000062012
5,3,0.000003238
6,6,0.000004978
7,12,0.00000817
8,12,0.00003999
9,9,0.00000821
10,15,0.00001729
11,20,0.000458338
12,17,0.000719592
13,17,0.000014212
14,20,0.001450885
15,19,0.000193322
16,18,0.000031638
17,20,0.000931147
18,21,0.001614248
19,21,0.010673113
20,21,0.000856897
21,21,0.02481904
22,21,0.001253254
23,20,0.000337527
24,22,0.006744563
25,21,0.006654565
26,21,0.001079407
27,21,0.000395961
28,20,0.00121373
29,21,0.013226453
30,19,0.000386347
1,1,0.000007033
2,9,0.000177295
3,10,0.000070631
4,10,0.000152445
5,10,0.000075597
6,6,0.000015725
7,15,0.000023611
8,12,0.000013851
9,15,0.000050198
10,14,0.000019107
11,20,0.000360743
12,20,0.000289474
13,13,0.000038575
14,20,0.000264135
15,20,0.002313669
16,20,0.00044237
17,21,0.002214063
18,20,0.000067014
19,21,0.001672092
20,20,0.001302141
21,19,0.002491286
22,20,0.000122749
23,20,0.001471494
24,19,0.000018338
25,21,0.001193879
26,19,0.001023779
27,21,0.000868625
28,21,0.001850553
29,21,0.001834044
30,21,0.001051706
1,1,0.000004487
2,2,0.000003444
3,10,0.000093489
4,8,0.000066601
5,5,0.000006044
6,14,0.00000769
7,16,0.000038832
8,15,0.000044268
9,14,0.000011419
10,8,0.000008701
11,18,0.000031837
12,19,0.00016796
13,17,0.000102687
14,21,0.000637197
15,14,0.000015094
16,17,0.000019499
17,20,0.000736937
18,19,0.000115211
19,20,0.000168552
20,17,0.000016358
21,20,0.000326707
22,21,0.000936878
23,20,0.000107464
24,20,0.00053142
25,20,0.000061017
26,20,0.000052684
27,21,0.00142335
28,21,0.002399254
29,21,0.003463809
30,19,0.01143113
1,1,0.00000372
2,7,0.000020927
3,3,0.000003094
4,4,0.000003135
5,5,0.000004584
6,13,0.000076768
7,7,0.00000454
8,12,0.000031199
9,9,0.000007481
10,10,0.000007391
11,19,0.000048716
12,20,0.00003066
13,14,0.001672798
14,21,0.000782428
15,22,0.006171339
16,21,0.001055892
17,20,0.000096218
18,20,0.000307301
19,21,0.003650202
20,21,0.001583897
21,21,0.000532085
22,20,0.000266218
23,20,0.001265886
24,20,0.012687589
25,21,0.00091985
26,21,0.007647178
27,22,0.012918909
28,21,0.000983658
29,20,0.004223162
30,21,0.00029769
1,8,0.000075677
2,9,0.000061257
3,3,0.000002604
4,7,0.000006204
5,5,0.000003783
6,12,0.000007604
7,6,0.000011002
8,8,0.000007747
9,19,0.000027873
10,14,0.000031196
11,11,0.000025984
12,20,0.000080743
13,19,0.000080887
14,19,0.00151308
15,20,0.000046082
16,19,0.000030774
17,20,0.001320153
18,21,0.00106058
19,20,0.000014433
20,21,0.001203661
21,21,0.000599526
22,20,0.00020836
23,20,0.000028128
24,21,0.000953249
25,19,0.000432243
26,21,0.002574678
27,20,0.001245715
28,21,0.000954212
29,21,0.000937501
30,20,0.000444334
1,1,0.000002776
2,7,0.000038629
3,8,0.000015711
4,11,0.000073719
5,12,0.000066993
6,11,0.00004071
7,7,0.000005888
8,12,0.000037395
9,12,0.000014844
10,18,0.00002217
11,11,0.000008388
12,14,0.000264315
13,20,0.000364173
14,18,0.000140648
15,21,0.000648697
16,21,0.000969637
17,21,0.002288873
18,19,0.000085066
19,21,0.000602604
20,21,0.000519478
21,21,0.004057771
22,19,0.000703663
23,20,0.000318728
24,21,0.016498281
25,21,0.001403073
26,21,0.000500577
27,20,0.000266631
28,20,0.001384327
29,21,0.001089774
30,20,0.000593843
1,1,0.00000273
2,2,0.000002385
3,10,0.000070342
4,4,0.000003444
5,15,0.000041994
6,13,0.000011384
7,11,0.000014163
8,10,0.000030979
9,16,0.000070523
10,12,0.000008384
11,19,0.000051453
12,21,0.001057724
13,20,0.001358097
14,20,0.000211145
15,20,0.00010186
16,20,0.000138572
17,21,0.000846891
18,20,0.000409646
19,21,0.001099232
20,21,0.000345654
21,20,0.000928127
22,20,0.005457973
23,21,0.001714567
24,21,0.002525991
25,21,0.015309499
26,19,0.000918706
27,20,0.000771896
28,19,0.000068854
29,21,0.000436056
30,20,0.004470257
1,1,0.0000033
2,2,0.000002778
3,10,0.00007761
4,4,0.000003166
5,5,0.000004159
6,6,0.000004293
7,7,0.000004829
8,8,0.000019969
9,16,0.000045882
10,16,0.000016195
11,16,0.000014064
12,17,0.000043107
13,19,0.000045015
14,16,0.000019805
15,20,0.000063706
16,20,0.000389863
17,20,0.000326811
18,21,0.001209021
19,20,0.000892668
20,20,0.000343087
21,20,0.000547095
22,20,0.000719748
23,20,0.002375307
24,20,0.000038616
25,21,0.002848052
26,20,0.001648142
27,20,0.003592665
28,19,0.000823836
29,20,0.000816137
30,21,0.001111142
1,1,0.000002549
2,7,0.000039865
3,3,0.000003013
4,4,0.000003192
5,5,0.000003449
6,15,0.000044399
7,7,0.000005998
8,15,0.000010987
9,8,0.00000786
10,15,0.000024626
11,17,0.000012683
12,21,0.000661634
13,20,0.000073641
14,19,0.00004945
15,19,0.00014139
16,20,0.003071209
17,21,0.001395954
18,20,0.000597887
19,20,0.000163913
20,20,0.001252894
21,20,0.000193552
22,21,0.00080916
23,20,0.00103308
24,20,0.000044628
25,20,0.000968564
26,20,0.002667743
27,20,0.005514208
28,20,0.001807716
29,21,0.00062761
30,21,0.022066927
1,1,0.000003884
2,2,0.000002077
3,8,0.00007285
4,8,0.000010568
5,12,0.000011053
6,13,0.00005668
7,17,0.000010141
8,13,0.000006904
9,11,0.000043628
10,18,0.000027668
11,14,0.000070171
12,12,0.00008201
13,20,0.000035837
14,20,0.000054588
15,21,0.002616861
16,20,0.000545021
17,19,0.000760045
18,20,0.001354578
19,21,0.009553279
20,21,0.001482671
21,20,0.000792792
22,20,0.000504279
23,19,0.000261864
24,20,0.000209881
25,21,0.001138471
26,20,0.000394299
27,21,0.000167875
28,20,0.000204238
29,21,0.001227992
30,19,0.000055962
1,1,0.000002273
2,2,0.000002628
3,3,0.000002605
4,4,0.000003416
5,8,0.00000762
6,6,0.000004072
7,12,0.000009826
8,8,0.000014456
9,16,0.000015824
10,16,0.00000969
11,8,0.00004316
12,17,0.000070044
13,21,0.001409692
14,16,0.000014428
15,21,0.001346469
16,20,0.001988299
17,20,0.01788594
18,21,0.001584431
19,21,0.000888494
20,20,0.000230622
21,21,0.001335794
22,20,0.000041615
23,20,0.000087703
24,21,0.001582684
25,20,0.000331392
26,21,0.006436541
27,21,0.000879316
28,20,0.000496056
