Length,Time (ms)
20,0.001083649
21,0.000323965
20,0.008849293
21,0.007054231
20,0.000679129
20,0.005934461
21,0.001099869
21,0.002152399
21,0.000809461
20,0.000059139
21,0.001187276
19,0.000435643
21,0.002388365
21,0.000752313
19,0.000020076
20,0.000073383
20,0.000038214
21,0.001779743
21,0.000548359
21,0.000284036
20,0.000400523
21,0.000597211
20,0.000424077
20,0.000106551
21,0.003070585
21,0.000722606
20,0.001477461
21,0.001311303
19,0.00084323
20,0.004900166
21,0.000617661
21,0.001140503
18,0.000155173
21,0.000653527
21,0.006119275
21,0.001431383
18,0.000020861
20,0.000570369
20,0.000474924
21,0.000649355
20,0.000455184
21,0.001575435
20,0.000029687
20,0.000156654
21,0.001399689
21,0.000442828
20,0.01189205
21,0.001484135
21,0.012301608
20,0.00011341
20,0.000880518
21,0.001561298
19,0.000122735
20,0.000073182
21,0.006397931
21,0.000955006
20,0.005683128
18,0.000606561
20,0.001833207
20,0.000967554
21,0.000304623
20,0.001268169
21,0.000487625
21,0.008661329
20,0.000064957
21,0.001167524
20,0.000594716
20,0.000107218
21,0.001265185
22,0.009651295
20,0.000407822
21,0.001306219
20,0.001018374
21,0.008277902
20,0.000156061
21,0.001487706
20,0.001256858
19,0.000094089
21,0.010825871
20,0.000120101
21,0.022257604
20,0.00195141
20,0.002840093
20,0.000141667
21,0.001156335
20,0.001408309
20,0.001083754
21,0.002566139
19,0.000106514
21,0.001780949
21,0.001256738
19,0.001188352
21,0.001291768
21,0.014363345
19,0.0007778
21,0.000642191
21,0.008083944
21,0.001790083
20,0.000274872
20,0.000161187
21,0.00446364
21,0.000962146
20,0.00015386
21,0.000829679
20,0.000989976
21,0.002749304
21,0.001212263
21,0.001775449
21,0.000782039
20,0.000694218
19,0.00532073
20,0.001611805
21,0.000742012
21,0.000719775
21,0.000672691
21,0.002407846
21,0.002027914
21,0.013121631
21,0.002579128
21,0.010096647
21,0.001208399
21,0.001246487
20,0.001077109
20,0.000123423
21,0.005868361
20,0.000111254
22,0.00614611
21,0.001104317
20,0.000789256
21,0.012522063
20,0.000126401
20,0.001582974
21,0.001017055
20,0.001236962
20,0.010790926
20,0.001450855
20,0.000060122
21,0.009919654
21,0.002518802
21,0.001304038
20,0.00098454
21,0.000577801
20,0.000346487
21,0.000460351
21,0.000818416
21,0.000894309
21,0.001131079
21,0.001298114
21,0.000508747
20,0.001696573
19,0.000075727
20,0.001225635
20,0.000824531
20,0.008115577
21,0.00134755
20,0.000041258
21,0.000905356
21,0.000916642
22,0.006354292
21,0.001374293
20,0.000380897
20,0.000699606
20,0.000043052
20,0.000533863
20,0.000564167
21,0.000481718
21,0.001016909
21,0.000747592
21,0.007430082
18,0.000251849
20,0.000600746
21,0.000795638
21,0.001012143
19,0.001636037
21,0.000686168
21,0.010715966
21,0.000933785
21,0.006909053
21,0.001490415
19,0.00155735
21,0.009003125
21,0.01260552
21,0.00046177
20,0.000075103
22,0.008736425
21,0.000764533
20,0.000347353
21,0.001280668
20,0.000665056
19,0.000783432
20,0.001530892
21,0.000979469
21,0.001842589
20,0.001351891
21,0.002587552
21,0.017634635
21,0.001099181
22,0.005109738
20,0.000411742
21,0.00146665
21,0.002036719
21,0.000854532
20,0.000490192
20,0.000279978
21,0.000211812
21,0.00114164
21,0.000812321
20,0.000441941
20,0.0053415
21,0.001119159
20,0.001120088
19,0.000953702
20,0.000258982
20,0.000097766
20,0.003488927
21,0.000632932
21,0.001412394
20,0.000173724
21,0.015370265
21,0.002585299
21,0.001492985
21,0.001401897
21,0.009559008
21,0.000889991
21,0.004463614
21,0.000480635
21,0.001454072
21,0.001361803
20,0.001582641
21,0.003362099
18,0.000055408
20,0.000671447
