Scramble Length,Solution Moves,Solution Time (s)
1,1,0.000033962
2,2,0.000045894
3,9,0.000200899
4,4,0.000062501
5,5,0.000505436
6,11,0.000803394
7,15,0.000235861
8,14,0.000284944
9,9,0.000453205
10,17,0.000900099
11,16,0.000663424
12,13,0.000133329
13,21,0.025771765
14,20,0.018350027
15,19,0.003461303
16,20,0.00092096
17,20,0.021423905
18,20,0.002271783
19,20,0.004948289
20,18,0.004902446
21,19,0.000158009
22,21,0.018610936
23,19,0.018004648
24,21,0.010609383
25,20,0.001039209
26,21,0.004088603
27,20,0.007357816
28,20,0.010485311
29,21,0.00462496
30,20,0.035843144
31,21,0.010465606
32,20,0.010647312
33,21,0.010916756
34,20,0.004561448
35,20,0.014908028
36,20,0.000516401
37,20,0.023033533
38,21,0.022551861
39,20,0.002062982
40,21,0.078206235
41,20,0.001720312
42,19,0.034457183
43,21,0.076890394
44,21,0.010191748
45,21,0.009414326
46,20,0.001048346
47,20,0.005107169
48,20,0.005509697
49,22,0.054856235
50,21,0.018827157
51,21,0.013429854
52,20,0.031192961
53,21,0.065102324
54,21,0.115788071
55,21,0.006166483
56,21,0.024408265
57,20,0.068424721
58,20,0.016525111
59,21,0.008535599
60,19,0.009080241
61,21,0.118025864
62,20,0.017834529
63,21,0.015562868
64,21,0.070607351
65,20,0.085931305
66,21,0.102165215
67,21,0.010499836
68,21,0.010051167
69,18,0.051247237
70,19,0.101684966
71,20,0.003908053
72,21,0.238941865
73,21,0.006093391
74,20,0.003291012
75,21,0.01571409
76,21,0.011401737
77,20,0.004974538
78,20,0.01554712
79,21,0.008237834
80,21,0.010960658
81,20,0.002259393
82,20,0.055473891
83,20,0.005557276
84,21,0.011341671
85,20,0.003079511
86,20,0.004062652
87,21,0.010675384
88,20,0.003182674
89,20,0.000703424
90,20,0.022918433
91,19,0.001913511
92,21,0.008741674
93,20,0.001134268
94,21,0.006319315
95,21,0.011653699
96,21,0.13067398
97,20,0.002772875
98,21,0.01052736
99,20,0.006373875
100,20,0.002084187
1,1,0.000020732
2,7,0.000371521
3,12,0.000079822
4,11,0.000878451
5,11,0.000621847
6,6,0.000064765
7,13,0.000088998
8,14,0.000889665
9,16,0.000955171
10,10,0.000104135
11,11,0.004380011
12,17,0.000282339
13,20,0.00105269
14,20,0.004507097
15,21,0.040911764
16,19,0.001183627
17,18,0.000311717
18,21,0.040306491
19,20,0.000759624
20,20,0.107840949
21,21,0.058635559
22,20,0.003919039
23,20,0.000293581
24,21,0.081062387
