Scramble Length,Solution Moves,Solution Time (s)
1,1,0.000005826
2,2,0.000005517
3,10,0.000102877
4,4,0.000006565
5,12,0.000104573
6,12,0.000028477
7,12,0.000074392
8,5,0.000010066
9,6,0.000010038
10,16,0.000082324
11,19,0.00008632
12,16,0.000051287
13,20,0.000073198
14,20,0.000063889
15,19,0.000964843
16,21,0.001012314
17,21,0.011985896
18,20,0.000227926
19,20,0.00020476
20,21,0.002022588
1,8,0.000080971
2,2,0.000003123
3,8,0.000022332
4,8,0.000022847
5,10,0.000013986
6,11,0.000009541
7,11,0.00001145
8,15,0.000095362
9,9,0.000101831
10,6,0.000006354
11,11,0.000218986
12,21,0.001633081
13,20,0.000106575
14,20,0.000040211
15,20,0.000662948
16,20,0.000224354
17,20,0.001490221
18,19,0.000129352
19,19,0.000044906
20,20,0.000092542
1,1,0.000002844
2,9,0.000091866
3,8,0.0000162
4,8,0.000008501
5,5,0.000003987
6,14,0.000012123
7,14,0.000087613
8,15,0.000021785
9,16,0.000012813
10,15,0.000014887
11,19,0.000080812
12,18,0.000035249
13,16,0.000187667
14,21,0.001013298
15,21,0.002523068
16,20,0.002225267
17,21,0.001002342
18,14,0.000017607
19,20,0.000810153
20,21,0.002125412
1,1,0.000003599
2,2,0.000003389
3,3,0.000003961
4,11,0.000110566
5,12,0.000007712
6,6,0.000008074
7,12,0.000015918
8,13,0.000031327
9,9,0.000053053
10,17,0.00017575
11,18,0.000183863
12,15,0.000032757
13,20,0.000260819
14,21,0.007434647
15,12,0.000089717
16,19,0.00003725
17,20,0.000931024
18,21,0.001591878
19,20,0.00022788
20,20,0.000665121
1,1,0.000003679
2,2,0.000002956
3,3,0.000002845
4,11,0.000082618
5,10,0.000015024
6,11,0.000017699
7,7,0.000005963
8,13,0.000012476
9,9,0.000007907
10,15,0.000016554
11,20,0.000014635
12,20,0.002577862
13,21,0.000950152
14,21,0.000472305
15,21,0.001482253
16,19,0.000032399
17,22,0.00488543
18,21,0.002232253
19,21,0.001406809
20,21,0.000581721
1,1,0.000002761
2,7,0.000017516
3,8,0.000083686
4,7,0.000005058
5,11,0.000026236
6,13,0.000064786
7,10,0.000016562
8,15,0.000008484
9,15,0.000033244
10,15,0.000008145
11,16,0.000060768
12,12,0.000283422
13,20,0.000233497
14,17,0.000346693
15,20,0.001230448
16,20,0.000240238
17,19,0.000125488
18,20,0.002471916
19,21,0.001058261
20,20,0.001213303
1,1,0.000004533
2,2,0.000004658
3,10,0.000136961
4,9,0.000020531
5,5,0.000009245
6,13,0.000093544
7,7,0.000007314
8,14,0.000055696
9,14,0.000044132
10,10,0.000010798
11,20,0.000979066
12,14,0.000027883
13,20,0.000918418
14,20,0.000191234
15,21,0.002185188
16,21,0.001225266
17,21,0.001163943
18,20,0.002236638
19,18,0.000028214
20,21,0.002185301
1,1,0.00000355
2,2,0.000002826
3,3,0.000003238
4,11,0.000084925
5,12,0.000028678
6,6,0.000004621
7,14,0.000029199
8,16,0.000018095
9,16,0.000236227
10,15,0.000017881
11,17,0.0000116
12,21,0.001498966
13,19,0.000081191
14,21,0.003644323
15,21,0.001125353
16,19,0.000520149
17,19,0.000290225
18,21,0.000903615
19,19,0.002988957
20,21,0.00186679
1,1,0.000003845
2,2,0.000002855
3,3,0.000003584
4,4,0.000003148
5,5,0.00000411
6,13,0.000086471
7,14,0.000063239
8,14,0.000064515
9,15,0.0000595
10,8,0.000012451
11,18,0.000046221
12,11,0.000007748
13,20,0.000580009
14,18,0.0000641
15,11,0.000008075
16,15,0.000013013
17,21,0.002690472
18,21,0.001061964
19,21,0.014476634
20,21,0.001038691
1,8,0.000083723
2,2,0.000002556
3,3,0.000002827
4,4,0.000004197
5,13,0.000007672
6,5,0.000004287
7,7,0.000009664
8,11,0.00000916
9,18,0.000020172
10,13,0.000014555
11,20,0.000071051
12,19,0.000189138
13,21,0.003222556
14,21,0.001202623
15,20,0.000145951
16,20,0.000486802
17,18,0.000031838
18,21,0.001394424
19,20,0.003861396
20,21,0.001376679
1,8,0.000098045
2,2,0.00000257
3,3,0.000002651
4,11,0.000022899
5,5,0.00000424
6,9,0.000007734
7,7,0.00000617
8,16,0.000248233
9,12,0.000023614
10,15,0.000064566
11,19,0.000043386
12,19,0.000997022
13,20,0.000136939
14,20,0.000295663
15,21,0.000923958
16,21,0.001063144
17,20,0.000277245
18,20,0.002393026
19,20,0.003116476
20,20,0.000356252
1,1,0.00000273
2,9,0.000077105
3,3,0.000003316
4,11,0.00006458
5,10,0.000024384
6,6,0.000004489
7,7,0.00000571
8,12,0.00001714
9,15,0.000047355
10,14,0.00003325
11,10,0.000007737
12,16,0.00000708
13,19,0.000073247
14,19,0.000615659
15,17,0.000014942
16,20,0.002904112
17,20,0.000195575
18,21,0.000930393
19,20,0.00060456
20,20,0.000178935
1,8,0.000075325
2,2,0.00000211
3,9,0.000054451
4,11,0.000026148
5,5,0.000004498
6,11,0.000032351
7,14,0.000058724
8,13,0.000051597
9,18,0.000037012
10,20,0.000038837
11,20,0.000111939
12,17,0.000188247
13,19,0.000230175
14,19,0.000425709
15,21,0.000382092
16,18,0.00006754
17,20,0.000559275
18,20,0.000294795
19,20,0.000191142
20,21,0.001402447
1,8,0.000078673
2,2,0.000002544
3,8,0.000015878
4,4,0.000003304
5,11,0.000054541
6,6,0.000005497
7,7,0.000009456
8,14,0.000008838
9,17,0.000091566
10,14,0.00001951
11,9,0.000016038
12,20,0.000071124
13,16,0.000011475
14,20,0.00013076
15,21,0.001962091
16,20,0.000241876
17,21,0.000642932
18,21,0.001660124
19,20,0.000989517
20,18,0.000186163
1,8,0.000107261
2,2,0.000002968
3,10,0.000083143
4,4,0.000003621
5,10,0.000043954
6,6,0.000006708
7,12,0.000062038
8,16,0.000024911
9,13,0.000010261
10,18,0.000130645
11,20,0.000228078
12,11,0.000025702
13,21,0.000291972
14,21,0.000720762
15,18,0.000060748
16,21,0.001076413
17,20,0.000405294
18,21,0.000918212
19,20,0.002873332
20,19,0.000037213
1,1,0.000002224
2,7,0.000049802
3,3,0.000002942
4,3,0.000002709
5,11,0.000007688
6,9,0.000007282
7,7,0.000006113
8,11,0.000101223
9,14,0.000010816
10,10,0.00006878
11,11,0.000021981
12,15,0.000101298
13,18,0.000052566
14,20,0.000566962
15,21,0.003944847
16,20,0.00386977
17,19,0.000146898
18,20,0.000441679
19,20,0.00064436
20,21,0.001026849
1,1,0.000002824
2,2,0.0000023
3,3,0.000002963
4,4,0.000003549
5,5,0.000003548
6,6,0.000005374
7,10,0.000011324
8,10,0.000051123
9,17,0.000070015
10,17,0.000163999
11,18,0.000092375
12,20,0.00030977
13,19,0.000559745
14,20,0.000677353
15,13,0.000021253
16,20,0.001031272
17,21,0.000184105
18,20,0.005684227
19,21,0.001393861
