Scramble Length,Solution Moves,Solution Time (s)
1,1,0.019948238
2,2,0.000002745
3,3,0.000009729
4,4,0.000016398
5,5,0.000126092
6,11,0.001109042
7,13,0.00006589
8,7,0.000010202
9,9,0.000465968
10,15,0.001097772
11,18,0.000179507
12,19,0.001477636
13,20,0.000047297
14,20,0.001382907
15,19,0.000255123
16,20,0.000110488
17,20,0.000164388
18,21,0.001256967
19,20,0.000278106
20,21,0.000899892
1,1,0.00000254
2,2,0.000006865
3,3,0.000025514
4,4,0.000031933
5,5,0.00006369
6,5,0.000782092
7,6,0.000088501
8,8,0.000086081
9,16,0.000118585
10,15,0.000129041
11,20,0.000207231
12,14,0.000009273
13,20,0.001131292
14,10,0.000100348
15,14,0.000025076
16,20,0.000548431
17,19,0.001915386
18,20,0.00002134
19,21,0.001601758
20,21,0.000526285
1,1,0.00000303
2,2,0.000005153
3,3,0.000013905
4,4,0.000051246
5,5,0.003094503
6,6,0.000322073
7,13,0.001222569
8,8,0.00107259
9,9,0.000033764
10,18,0.000704569
11,14,0.000964979
12,16,0.000022545
13,20,0.000224505
14,18,0.00026788
15,21,0.001560844
16,20,0.000940314
17,21,0.001416819
18,20,0.000724579
19,21,0.001110148
20,19,0.000113105
1,1,0.000002247
2,2,0.000005323
3,3,0.000010048
4,4,0.000022193
5,5,0.000086055
6,6,0.000069811
7,14,0.000179863
8,14,0.000018878
9,14,0.000521687
10,16,0.000068101
11,8,0.000033291
12,17,0.001068078
13,15,0.000452069
14,21,0.002544779
15,20,0.003065328
16,20,0.000561571
17,20,0.000333808
18,19,0.000120721
19,20,0.000291733
20,21,0.001829889
1,1,0.000002815
2,2,0.000005602
3,3,0.000027351
4,4,0.000063496
5,4,0.000142893
6,11,0.003051868
7,11,0.000166661
8,13,0.000222889
9,9,0.000107127
10,17,0.000165853
11,19,0.000048097
12,20,0.000411809
13,11,0.000063105
14,20,0.000092238
15,19,0.000931958
16,19,0.00006746
17,20,0.000281321
18,21,0.015590529
19,20,0.000167231
20,21,0.001369144
1,1,0.000002961
2,2,0.000008845
3,3,0.000008036
4,4,0.000161841
5,5,0.000284652
6,6,0.000067388
7,16,0.000478611
8,11,0.000113158
9,9,0.000009804
10,10,0.000102178
11,16,0.000583371
12,12,0.001026065
13,18,0.000020273
14,19,0.000128392
15,18,0.000509939
16,20,0.000470697
17,20,0.000949579
18,22,0.008607572
19,20,0.00016859
20,21,0.001593358
1,1,0.000004082
2,2,0.000004117
3,3,0.000029255
4,4,0.000007394
5,5,0.000661366
6,6,0.000018715
7,7,0.000809982
8,11,0.000229929
9,10,0.000791961
10,17,0.000293792
11,20,0.000610753
12,17,0.00002649
13,16,0.000107667
14,20,0.000114097
15,20,0.011425308
16,17,0.000063281
17,20,0.000344505
18,21,0.000393413
19,20,0.000602905
20,21,0.000665474
1,1,0.000002824
2,2,0.000001224
3,3,0.000003185
4,4,0.000173827
5,4,0.000026166
6,6,0.000265213
7,15,0.001105987
8,8,0.000007615
9,19,0.000975014
10,9,0.000711645
11,11,0.000013669
12,20,0.00010297
13,20,0.000377902
14,19,0.000443302
15,21,0.001607791
16,20,0.00079496
17,20,0.000428603
18,20,0.003861028
19,21,0.001307157
20,21,0.001633565
1,1,0.000001647
2,2,0.000006482
3,3,0.000004242
4,3,0.000325257
5,5,0.000082383
6,4,0.000069571
7,7,0.001927878
8,16,0.001443058
9,15,0.000116384
10,10,0.000046567
11,15,0.000183233
12,12,0.00002085
13,17,0.000177295
14,15,0.00009965
15,21,0.001976774
16,20,0.000493517
17,21,0.001098724
18,20,0.001520048
19,20,0.01440682
20,20,0.000071447
1,1,0.000002053
2,2,0.000003352
3,3,0.000039622
4,4,0.000009317
5,5,0.003707449
6,6,0.001957105
7,7,0.001598745
8,8,0.000058847
9,9,0.000013362
10,16,0.000010876
11,17,0.000117086
12,20,0.000026735
13,19,0.00280623
14,14,0.000114657
15,21,0.001433552
