Scramble Length,Solution Moves,Solution Time (s)
1,1,0.020068414
2,2,0.000004829
3,3,0.000021485
4,4,0.000058853
5,5,0.000135958
6,12,0.000079956
7,5,0.00021281
8,17,0.000996731
9,19,0.000952703
10,18,0.00103649
11,20,0.001004393
12,11,0.001125909
13,11,0.005349936
14,20,0.000498637
15,20,0.00018987
16,20,0.000797085
17,20,0.001397583
18,20,0.000692761
19,21,0.006694118
20,21,0.001007385
21,21,0.002044681
22,21,0.000852616
23,19,0.000860353
24,18,0.000650989
25,20,0.002907724
26,21,0.001506446
27,21,0.001688156
28,20,0.00054032
29,20,0.00238777
30,20,0.0010852
1,1,0.000002481
2,2,0.000001687
3,3,0.000023671
4,4,0.000049071
5,5,0.002144868
6,6,0.003343765
7,9,0.002434989
8,15,0.003199018
9,9,0.00023602
10,17,0.000919943
11,16,0.000639923
12,13,0.00002042
13,21,0.001342357
14,20,0.000195042
15,19,0.001391646
16,20,0.004601266
17,19,0.000873414
18,20,0.007846362
19,21,0.006351511
20,20,0.000200821
21,21,0.003458547
22,20,0.000172428
23,21,0.001943207
24,20,0.006591533
25,19,0.000568007
26,19,0.000828349
27,21,0.001180686
28,20,0.002486677
29,21,0.000782327
30,20,0.000276215
1,1,0.000002052
2,2,0.000005483
3,3,0.000007255
4,4,0.000106061
5,5,0.000027211
6,6,0.001569058
7,15,0.000047252
8,15,0.000055677
9,14,0.001264729
10,15,0.000064448
11,20,0.001138154
12,19,0.000723481
13,19,0.000026857
14,20,0.001220241
15,21,0.002238654
16,20,0.000700719
17,21,0.000687688
18,21,0.000911939
19,20,0.00009881
20,20,0.000544755
21,21,0.000774619
22,20,0.000101958
23,20,0.001385021
24,20,0.000876488
25,21,0.004155437
26,21,0.001641713
27,21,0.001601318
28,21,0.002599288
29,20,0.002160018
30,19,0.000563088
1,1,0.000002497
2,2,0.000005834
3,3,0.000010432
4,4,0.000015067
5,5,0.000041408
6,6,0.01666612
7,7,0.000662702
8,8,0.000974591
9,13,0.001531214
10,19,0.001617912
11,17,0.000392933
12,18,0.004184276
13,20,0.00016741
14,20,0.000353025
15,21,0.009426173
16,20,0.000707158
17,21,0.00113471
18,21,0.011373371
19,20,0.001870876
20,21,0.000437977
21,19,0.001312353
22,20,0.000247802
23,20,0.000667323
24,21,0.000703345
25,21,0.012357327
26,21,0.000642755
27,20,0.000406043
28,21,0.0039177
29,21,0.001032588
30,21,0.000610465
1,1,0.000001924
2,2,0.000003828
3,3,0.00003489
4,4,0.000018657
5,3,0.000003653
6,6,0.005781585
7,14,0.000382266
8,8,0.000600879
9,10,0.053341748
10,10,0.000054609
11,19,0.02493469
12,20,0.005621915
13,18,0.003987049
14,20,0.001166524
15,20,0.000530092
16,18,0.000754987
17,21,0.002380184
18,20,0.002131412
19,19,0.000348589
20,21,0.001044617
21,21,0.000548993
22,20,0.000400318
23,20,0.000278644
24,21,0.000902112
25,20,0.000991998
26,21,0.007496715
27,20,0.000470715
28,20,0.000422962
29,21,0.001220719
30,21,0.001001672
1,1,0.000002265
2,2,0.000001849
3,3,0.000020722
4,4,0.00003536
5,5,0.00043841
6,6,0.000116788
7,7,0.000105808
8,16,0.002220821
9,17,0.006343744
10,9,0.011870967
11,11,0.000401121
12,19,0.004879174
13,20,0.002745104
14,19,0.002003366
15,20,0.000253546
16,20,0.002516039
17,20,0.000453999
18,20,0.001091134
19,20,0.000539512
20,20,0.000426713
21,19,0.001363737
22,20,0.000254893
23,20,0.001015119
24,20,0.000107761
25,20,0.00018315
26,21,0.000771317
27,21,0.001370722
28,21,0.000826723
29,21,0.003933355
30,19,0.000149022
1,1,0.000002114
2,2,0.00000207
3,3,0.000008786
4,4,0.000126356
5,5,0.000209987
6,6,0.00840923
7,7,0.000992804
8,8,0.008021684
9,11,0.000292874
10,17,0.000217339
11,18,0.001608848
12,17,0.000169487
13,17,0.001853968
14,19,0.001100638
15,20,0.002367123
16,20,0.001349326
17,20,0.00179676
18,19,0.000093002
19,20,0.002314683
20,20,0.000411591
21,21,0.002084386
22,21,0.006055079
23,19,0.00321938
24,20,0.000998382
25,21,0.000499014
26,21,0.001285456
27,20,0.000897457
28,21,0.000244418
29,19,0.000413207
30,21,0.01272346
1,1,0.000002685
2,2,0.000003601
3,3,0.00003342
4,4,0.000023231
5,5,0.000489288
6,5,0.001342537
7,7,0.004152251
8,8,0.003298985
9,9,0.000228707
10,15,0.000232563
11,19,0.002687002
12,20,0.000314642
13,19,0.002068484
14,21,0.002896034
15,21,0.000877597
16,21,0.00063344
17,19,0.000124423
18,21,0.000798255
19,20,0.000853643
20,21,0.000863148
21,19,0.000763113
22,20,0.000054921
23,20,0.001452988
24,20,0.000124968
25,20,0.000518826
26,19,0.000157114
27,21,0.001186783
28,21,0.001089091
29,21,0.00178994
30,20,0.000103827
1,1,0.000002015
2,2,0.000004641
3,3,0.000004672
4,4,0.000056012
5,5,0.000050073
6,6,0.000061194
7,6,0.005456902
8,13,0.000482968
9,9,0.003179029
10,20,0.000861385
11,7,0.015171508
12,21,0.001733127
13,18,0.000130791
14,20,0.001862818
15,20,0.000225191
16,18,0.000283238
17,20,0.001112088
18,21,0.001038073
19,21,0.000949079
20,20,0.003565091
21,20,0.001111704
22,21,0.000645086
23,20,0.001670433
24,20,0.000228056
25,21,0.00897469
26,21,0.000755222
27,19,0.000039904
28,20,0.000091019
29,21,0.003949596
30,20,0.001461428
1,1,0.000002458
2,2,0.000001381
3,3,0.000019944
4,4,0.000158088
5,5,0.000205753
6,6,0.000306393
7,6,0.000084734
8,8,0.001250217
9,13,0.000479533
10,18,0.002493449
11,7,0.009755346
12,20,0.000290164
13,10,0.001993688
14,19,0.000840207
15,20,0.000778764
16,18,0.000098097
17,20,0.000379028
18,19,0.000169686
19,20,0.000720944
20,19,0.00504198
21,21,0.002305925
22,21,0.001193157
23,20,0.012821731
24,21,0.000914387
25,20,0.000287645
26,19,0.000103922
27,20,0.000979243
28,20,0.000261637
29,20,0.0007281
30,21,0.005928034
1,1,0.000002388
2,2,0.000001722
3,3,0.000028539
4,4,0.000008781
5,5,0.00013158
6,8,0.001398003
7,7,0.001454504
8,8,0.000178087
9,10,0.006560069
10,20,0.001095255
11,20,0.000658995
12,20,0.0014193
13,16,0.000645636
14,20,0.00408991
15,20,0.000111557
16,21,0.00254287
17,17,0.000551491
18,19,0.000219116
19,21,0.001219814
20,19,0.000494064
21,21,0.013671559
22,21,0.011576517
23,21,0.000923984
24,20,0.001810082
25,20,0.000484715
26,20,0.006650926
27,21,0.000756701
28,18,0.000665253
29,21,0.004597276
30,21,0.002237773
1,1,0.00000155
2,2,0.000003072
3,3,0.000006351
4,4,0.000012578
5,5,0.00162775
6,15,0.036874113
7,6,0.000119649
8,5,0.000380979
9,14,0.001767912
10,13,0.000113244
11,11,0.000689618
12,20,0.000751124
13,19,0.001619122
14,16,0.000052371
15,20,0.001261497
16,19,0.000399718
17,21,0.007351627
18,21,0.001401344
19,21,0.000908572
20,19,0.000444739
21,20,0.000820253
22,20,0.000224646
23,21,0.001689192
24,20,0.000530546
25,19,0.003942277
26,21,0.001443745
27,19,0.000073314
28,21,0.001336242
29,21,0.002953786
30,21,0.001819384
1,1,0.000002679
2,2,0.000003388
3,3,0.000006598
4,4,0.000031446
5,5,0.000150641
6,6,0.001214811
7,7,0.003191206
8,18,0.005123174
9,16,0.020021449
10,10,0.000224424
11,9,0.000261848
12,16,0.00046159
13,16,0.009957553
14,21,0.002898369
15,19,0.000191669
16,20,0.001430693
17,20,0.001212423
18,21,0.000721553
19,20,0.00061007
20,21,0.00060605
21,20,0.000413467
22,20,0.000853173
23,21,0.014737911
24,21,0.001485813
25,19,0.000398786
26,20,0.000817246
27,20,0.001576947
28,21,0.001569195
29,20,0.00005099
30,20,0.000354655
1,1,0.000002326
2,2,0.000005691
3,3,0.000034346
4,4,0.000141775
5,5,0.000741057
6,6,0.000368612
7,16,0.000114515
8,15,0.000395862
9,16,0.001278224
10,14,0.000883697
11,19,0.004666328
12,20,0.001218354
13,18,0.005072216
14,20,0.000358651
15,20,0.000682024
16,20,0.004546448
17,18,0.000667822
18,21,0.000823407
19,20,0.000195022
20,19,0.001356439
21,20,0.000226558
22,20,0.000078861
23,19,0.001216227
24,21,0.001431683
25,20,0.003948154
26,21,0.001025218
27,19,0.000645805
28,20,0.000125614
29,21,0.003941136
30,21,0.000882887
1,1,0.00000237
2,2,0.000001391
3,3,0.000007056
4,4,0.00001046
5,5,0.000115974
6,6,0.001536749
7,14,0.000429339
8,6,0.000088057
9,15,0.001878909
10,10,0.000010796
11,11,0.000286889
12,19,0.000198307
13,20,0.000372
14,21,0.006698205
15,15,0.003667204
16,21,0.002943048
17,21,0.005603742
18,21,0.001634338
19,21,0.00055409
20,20,0.004420701
21,21,0.000800247
22,20,0.000968162
23,20,0.000872664
24,20,0.001157207
25,19,0.000898708
26,20,0.000755765
27,21,0.000802347
28,18,0.000423595
29,21,0.007853065
30,21,0.000508104
1,1,0.0000024
2,2,0.000006875
3,3,0.000011013
4,4,0.00003925
5,5,0.001574346
6,6,0.00059121
7,7,0.00109517
8,13,0.001925984
9,18,0.006472953
10,16,0.00047617
11,13,0.000040211
12,15,0.017895295
13,21,0.002175042
14,20,0.000706382
15,19,0.001570204
16,21,0.00096131
17,21,0.000698112
18,21,0.009240775
19,21,0.001175815
20,19,0.001271517
21,21,0.008673154
22,20,0.000363555
23,19,0.001105277
24,21,0.00104421
25,21,0.000609462
26,20,0.000494845
27,20,0.000837154
28,20,0.001001457
29,21,0.001060441
30,20,0.001006833
1,1,0.000002454
2,2,0.000006295
3,3,0.000025416
4,4,0.001142949
5,5,0.000258141
6,6,0.000249194
7,7,0.001510718
8,13,0.001408057
9,9,0.000163579
10,10,0.000192077
11,20,0.000087058
12,11,0.000346103
13,20,0.003230689
14,17,0.00143257
15,20,0.001613296
16,20,0.001167496
17,19,0.000657952
18,22,0.005878942
19,21,0.001915124
20,18,0.001199794
21,21,0.001342542
22,20,0.001700329
23,21,0.008460867
24,21,0.005504937
25,17,0.000187874
26,21,0.001685975
27,20,0.00108695
